year,month,day,hour,pm25_hourly
2013,1,24,24,10.355
2013,1,25,1,10.538333333
2013,1,25,2,9.4266666667
2013,1,25,3,8.7916666667
2013,1,25,4,8.31
2013,1,25,5,8.0066666667
2013,1,25,6,8.3066666667
2013,1,25,7,9.0716666667
2013,1,25,8,9.6333333333
2013,1,25,9,10.543333333
2013,1,25,10,11.226666667
2013,1,25,11,13.973333333
2013,1,25,12,13.128333333
2013,1,25,13,15.845
2013,1,25,14,16.275
2013,1,25,15,16.233333333
2013,1,25,16,16.3
2013,1,25,17,16.781666667
2013,1,25,18,17.33
2013,1,25,19,18.371666667
2013,1,25,20,18.83
2013,1,25,21,20.78
2013,1,25,22,20.75
2013,1,25,23,22.538333333
2013,1,25,24,15.658333333
2013,1,26,1,26.313333333
2013,1,26,2,30.885
2013,1,26,3,29.541666667
2013,1,26,4,24.235
2013,1,26,5,24.786666667
2013,1,26,6,24.003333333
2013,1,26,7,21.395
2013,1,26,8,19.73
2013,1,26,9,16.278333333
2013,1,26,10,15.118333333
2013,1,26,11,13.17
2013,1,26,12,24.341666667
2013,1,26,13,6.8766666667
2013,1,26,14,5.47
2013,1,26,15,6.1883333333
2013,1,26,16,6.3583333333
2013,1,26,17,5.8116666667
2013,1,26,18,5.8
2013,1,26,19,7.9816666667
2013,1,26,20,11.233333333
2013,1,26,21,10.728333333
2013,1,26,22,10.808333333
2013,1,26,23,10.748333333
2013,1,26,24,9.8716666667
2013,1,27,1,11.79
2013,1,27,2,11.273333333
2013,1,27,3,12.111666667
2013,1,27,4,13.956666667
2013,1,27,5,18.238333333
2013,1,27,6,21.745
2013,1,27,7,21.913333333
2013,1,27,8,21.04
2013,1,27,9,18.876666667
2013,1,27,10,18.343589744
2013,1,27,12,11.266666667
2013,1,27,13,15.85
2013,1,27,14,15.55
2013,1,27,15,15.675
2013,1,27,16,15.65
2013,1,27,17,15.958333333
2013,1,27,18,16.841666667
2013,1,27,19,17.408333333
2013,1,27,20,18.658333333
2013,1,27,21,19.483333333
2013,1,27,22,18.725
2013,1,27,23,18.275
2013,1,27,24,16.2
2013,1,28,1,18.658333333
2013,1,28,2,18.825
2013,1,28,3,19.3
2013,1,28,4,20.991666667
2013,1,28,5,22.991666667
2013,1,28,6,25.95
2013,1,28,7,28.341666667
2013,1,28,8,33.525
2013,1,28,9,39.025
2013,1,28,10,40.925
2013,1,28,11,39.758333333
2013,1,28,12,18.375
2013,1,28,13,32.258333333
2013,1,28,14,30.975
2013,1,28,15,30.425
2013,1,28,16,31.191666667
2013,1,28,17,31.966666667
2013,1,28,18,34.333333333
2013,1,28,19,38.725
2013,1,28,20,41.591666667
2013,1,28,21,42.783333333
2013,1,28,22,45.041666667
2013,1,28,23,47.208333333
2013,1,28,24,34.416666667
2013,1,29,1,45.758333333
2013,1,29,2,43.741666667
2013,1,29,3,42.083333333
2013,1,29,4,39.808333333
2013,1,29,5,39.566666667
2013,1,29,6,41.2
2013,1,29,7,44.933333333
2013,1,29,8,49.591666667
2013,1,29,9,49.416666667
2013,1,29,10,40.883333333
2013,1,29,11,31.566666667
2013,1,29,12,47.75
2013,1,29,13,21.95
2013,1,29,14,19.433333333
2013,1,29,15,19.483333333
2013,1,29,16,20.45
2013,1,29,17,22.925
2013,1,29,18,26.325
2013,1,29,19,28.058333333
2013,1,29,20,31.883333333
2013,1,29,21,34.625
2013,1,29,22,34.008333333
2013,1,29,23,30.741666667
2013,1,29,24,26.158333333
2013,1,30,1,20.116666667
2013,1,30,2,17.908333333
2013,1,30,3,17.658333333
2013,1,30,4,18.216666667
2013,1,30,5,17.858333333
2013,1,30,6,16.208333333
2013,1,30,7,13.8
2013,1,30,8,14.041666667
2013,1,30,9,12.975
2013,1,30,10,10.316666667
2013,1,30,11,10.716666667
2013,1,30,12,25.991666667
2013,1,30,13,14.8
2013,1,30,14,14.058333333
2013,1,30,15,2.5416666667
2013,1,30,16,2.725
2013,1,30,17,3.6833333333
2013,1,30,18,3.6833333333
2013,1,30,19,5.1
2013,1,30,20,6.65
2013,1,30,21,8.6
2013,1,30,22,8.2166666667
2013,1,30,23,4.825
2013,1,30,24,13.458333333
2013,1,31,1,4.1083333333
2013,1,31,2,6.05
2013,1,31,3,6.9666666667
2013,1,31,4,6.825
2013,1,31,5,7.15
2013,1,31,6,7.4083333333
2013,1,31,7,8.4166666667
2013,1,31,8,8.8083333333
2013,1,31,9,8.0833333333
2013,1,31,10,7.5916666667
2013,1,31,11,6.075
2013,1,31,12,4.025
2013,1,31,13,5.6833333333
2013,1,31,14,5.0272727273
2013,1,31,15,5.2166666667
2013,1,31,16,4.8416666667
2013,1,31,17,4.1166666667
2013,1,31,18,3.8916666667
2013,1,31,19,5.15
2013,1,31,20,5.5666666667
2013,1,31,21,5.5416666667
2013,1,31,22,5.5083333333
2013,1,31,23,5.35
2013,1,31,24,5.4583333333
